job_id,title,skills,level,mode,domain
0,Job_0,"['python', 'fastapi', 'deep learning']",beginner,remote,AI
1,Job_1,"['nlp', 'linux', 'python']",beginner,remote,Web
2,Job_2,"['data analysis', 'nlp', 'python', 'deep learning']",advanced,hybrid,DevOps
3,Job_3,"['git', 'nlp', 'fastapi', 'python']",beginner,hybrid,DevOps
4,Job_4,"['fastapi', 'machine learning', 'deep learning', 'docker', 'python']",beginner,on-site,AI
5,Job_5,"['docker', 'nlp', 'fastapi', 'python', 'computer vision']",intermediate,hybrid,AI
6,Job_6,"['sql', 'data analysis', 'fastapi', 'docker', 'nlp', 'computer vision']",advanced,remote,AI
7,Job_7,"['fastapi', 'sql', 'deep learning', 'nlp']",intermediate,on-site,DevOps
8,Job_8,"['machine learning', 'docker', 'nlp', 'deep learning', 'data analysis']",intermediate,hybrid,AI
9,Job_9,"['data analysis', 'deep learning', 'machine learning', 'git']",intermediate,on-site,Web
10,Job_10,"['python', 'deep learning', 'computer vision', 'docker', 'nlp']",intermediate,remote,Web
11,Job_11,"['deep learning', 'git', 'linux', 'nlp', 'sql']",intermediate,remote,Web
12,Job_12,"['nlp', 'linux', 'computer vision', 'docker', 'sql']",beginner,hybrid,DevOps
13,Job_13,"['python', 'sql', 'machine learning']",advanced,remote,DevOps
14,Job_14,"['linux', 'computer vision', 'git']",advanced,on-site,AI
15,Job_15,"['computer vision', 'data analysis', 'fastapi']",advanced,on-site,AI
16,Job_16,"['linux', 'machine learning', 'git', 'python', 'docker']",advanced,on-site,Web
17,Job_17,"['computer vision', 'fastapi', 'data analysis']",advanced,remote,Web
18,Job_18,"['machine learning', 'data analysis', 'nlp', 'python', 'fastapi']",intermediate,on-site,AI
19,Job_19,"['docker', 'fastapi', 'deep learning']",beginner,remote,AI
20,Job_20,"['git', 'sql', 'data analysis']",beginner,remote,DevOps
21,Job_21,"['fastapi', 'data analysis', 'linux', 'deep learning']",advanced,hybrid,Web
22,Job_22,"['linux', 'docker', 'git', 'data analysis', 'python']",beginner,remote,AI
23,Job_23,"['python', 'nlp', 'data analysis', 'deep learning', 'fastapi']",beginner,remote,AI
24,Job_24,"['deep learning', 'sql', 'python']",intermediate,remote,Web
25,Job_25,"['computer vision', 'git', 'deep learning', 'machine learning', 'docker']",advanced,hybrid,DevOps
26,Job_26,"['git', 'linux', 'deep learning', 'sql']",beginner,hybrid,DevOps
27,Job_27,"['linux', 'computer vision', 'git', 'python', 'docker']",advanced,hybrid,AI
28,Job_28,"['linux', 'docker', 'sql']",beginner,remote,Web
29,Job_29,"['machine learning', 'linux', 'computer vision', 'fastapi', 'deep learning', 'sql']",beginner,on-site,AI
30,Job_30,"['computer vision', 'data analysis', 'python']",beginner,remote,Web
31,Job_31,"['git', 'computer vision', 'deep learning', 'linux', 'python', 'sql']",intermediate,remote,DevOps
32,Job_32,"['git', 'fastapi', 'linux', 'computer vision', 'sql']",beginner,on-site,Web
