user_id,skills,level,mode,domain
0,"['deep learning', 'data analysis']",beginner,on-site,DevOps
1,"['machine learning', 'fastapi']",beginner,remote,Web
2,"['docker', 'git', 'sql', 'data analysis', 'fastapi']",beginner,hybrid,DevOps
3,"['nlp', 'computer vision']",beginner,on-site,Web
4,"['fastapi', 'computer vision', 'docker']",intermediate,hybrid,Data
5,"['git', 'fastapi', 'deep learning', 'sql']",beginner,remote,AI
6,"['sql', 'machine learning', 'git']",intermediate,on-site,DevOps
7,"['data analysis', 'docker']",beginner,on-site,Data
8,"['fastapi', 'sql', 'nlp', 'machine learning', 'linux']",advanced,on-site,AI
9,"['docker', 'machine learning', 'sql']",advanced,remote,Data
10,"['data analysis', 'python', 'fastapi', 'computer vision', 'linux']",beginner,remote,DevOps
11,"['data analysis', 'computer vision', 'deep learning', 'sql', 'nlp']",beginner,remote,AI
12,"['python', 'deep learning']",beginner,remote,DevOps
13,"['computer vision', 'sql', 'fastapi', 'nlp']",beginner,remote,Web
14,"['machine learning', 'sql', 'docker', 'nlp', 'python']",intermediate,remote,Web
15,"['linux', 'git', 'python', 'computer vision', 'docker']",intermediate,remote,Data
16,"['machine learning', 'fastapi', 'nlp']",intermediate,remote,AI
17,"['computer vision', 'fastapi', 'git']",intermediate,hybrid,DevOps
18,"['sql', 'fastapi']",intermediate,remote,DevOps
19,"['computer vision', 'data analysis', 'deep learning']",advanced,hybrid,AI
20,"['docker', 'git', 'data analysis', 'nlp', 'machine learning']",advanced,hybrid,Data
21,"['fastapi', 'machine learning', 'python', 'docker', 'computer vision']",beginner,remote,Data
22,"['git', 'data analysis']",intermediate,hybrid,Web
23,"['sql', 'deep learning', 'nlp']",intermediate,hybrid,AI
24,"['nlp', 'linux', 'docker']",beginner,remote,Web
25,"['docker', 'nlp', 'python', 'computer vision']",advanced,hybrid,Web
26,"['git', 'data analysis', 'fastapi']",beginner,on-site,AI
27,"['python', 'deep learning']",advanced,remote,AI
28,"['python', 'docker', 'deep learning', 'machine learning', 'git']",advanced,remote,Data
29,"['python', 'machine learning']",advanced,hybrid,Web
30,"['data analysis', 'docker']",beginner,on-site,DevOps
31,"['docker', 'fastapi']",intermediate,remote,Web
32,"['computer vision', 'git', 'docker', 'machine learning', 'data analysis']",advanced,hybrid,Data
33,"['computer vision', 'nlp', 'machine learning']",intermediate,on-site,Data
34,"['machine learning', 'python', 'linux']",advanced,remote,Web
35,"['nlp', 'deep learning', 'sql', 'git']",beginner,on-site,AI
36,"['docker', 'computer vision', 'machine learning']",advanced,remote,Data
37,"['python', 'fastapi', 'deep learning', 'data analysis', 'docker']",beginner,on-site,Data
38,"['python', 'computer vision']",intermediate,on-site,DevOps
39,"['linux', 'git', 'computer vision']",intermediate,hybrid,DevOps
40,"['git', 'nlp']",advanced,hybrid,Web
41,"['git', 'sql', 'python']",intermediate,remote,Data
42,"['sql', 'computer vision', 'docker', 'machine learning']",intermediate,remote,AI
43,"['docker', 'nlp']",advanced,on-site,AI
44,"['computer vision', 'machine learning', 'linux', 'nlp', 'python']",beginner,on-site,Web
45,"['linux', 'data analysis', 'nlp']",intermediate,hybrid,Data
46,"['deep learning', 'sql', 'python', 'linux']",advanced,hybrid,DevOps
47,"['python', 'docker', 'computer vision']",intermediate,remote,Data
48,"['deep learning', 'sql', 'python', 'computer vision', 'nlp']",advanced,on-site,AI
49,"['sql', 'fastapi', 'linux', 'git', 'deep learning']",advanced,on-site,AI
50,"['machine learning', 'docker', 'linux', 'nlp', 'sql']",intermediate,remote,Data
51,"['git', 'fastapi', 'deep learning', 'nlp', 'computer vision']",beginner,remote,AI
52,"['computer vision', 'docker']",advanced,on-site,Web
53,"['linux', 'data analysis']",intermediate,hybrid,DevOps
54,"['git', 'fastapi', 'sql']",intermediate,hybrid,AI
55,"['sql', 'git', 'machine learning']",beginner,remote,Web
56,"['python', 'linux', 'sql']",advanced,on-site,Web
57,"['nlp', 'fastapi', 'docker']",advanced,remote,AI
58,"['data analysis', 'linux', 'computer vision', 'docker', 'nlp']",intermediate,hybrid,DevOps
59,"['nlp', 'computer vision']",advanced,on-site,AI
60,"['machine learning', 'computer vision', 'sql', 'data analysis', 'fastapi']",beginner,on-site,Data
61,"['fastapi', 'linux', 'git', 'data analysis', 'python']",beginner,on-site,DevOps
62,"['nlp', 'computer vision', 'linux']",beginner,on-site,Data
63,"['python', 'git', 'fastapi']",intermediate,remote,Data
64,"['fastapi', 'computer vision', 'git', 'sql']",beginner,remote,Data
65,"['docker', 'fastapi', 'linux', 'sql', 'git']",intermediate,remote,DevOps
66,"['data analysis', 'docker', 'python', 'machine learning', 'computer vision']",intermediate,hybrid,DevOps
67,"['data analysis', 'nlp', 'python']",beginner,remote,Web
68,"['deep learning', 'python']",intermediate,remote,Data
69,"['fastapi', 'docker', 'git']",advanced,on-site,AI
70,"['deep learning', 'docker']",intermediate,hybrid,DevOps
71,"['git', 'nlp', 'data analysis']",intermediate,on-site,Web
72,"['sql', 'fastapi', 'python', 'linux']",beginner,remote,Web
73,"['computer vision', 'deep learning', 'nlp']",intermediate,hybrid,DevOps
74,"['computer vision', 'python']",intermediate,remote,Web
75,"['deep learning', 'fastapi']",advanced,on-site,Data
76,"['linux', 'docker', 'git', 'fastapi', 'sql']",intermediate,on-site,DevOps
77,"['python', 'data analysis']",advanced,on-site,Data
78,"['computer vision', 'sql', 'git', 'nlp']",intermediate,on-site,Data
79,"['fastapi', 'computer vision', 'deep learning', 'machine learning']",advanced,remote,AI
80,"['computer vision', 'docker', 'machine learning', 'python', 'nlp']",intermediate,on-site,Data
81,"['linux', 'computer vision', 'python', 'deep learning', 'machine learning']",advanced,hybrid,Web
82,"['computer vision', 'docker', 'data analysis', 'fastapi', 'linux']",beginner,hybrid,Web
83,"['sql', 'git', 'machine learning', 'fastapi']",advanced,hybrid,Web
84,"['computer vision', 'sql', 'deep learning', 'docker']",beginner,hybrid,Data
85,"['docker', 'computer vision', 'fastapi', 'data analysis', 'deep learning']",beginner,on-site,AI
86,"['git', 'deep learning']",advanced,remote,DevOps
87,"['linux', 'python', 'machine learning', 'data analysis']",beginner,on-site,DevOps
88,"['machine learning', 'docker', 'computer vision', 'sql', 'deep learning']",intermediate,hybrid,Web
89,"['computer vision', 'python', 'nlp', 'git']",intermediate,remote,Web
90,"['git', 'sql', 'machine learning']",advanced,on-site,DevOps
91,"['linux', 'git', 'computer vision', 'python', 'nlp']",advanced,remote,Data
92,"['docker', 'data analysis']",beginner,remote,AI
93,"['deep learning', 'docker', 'fastapi']",beginner,remote,DevOps
94,"['machine learning', 'sql', 'python', 'fastapi']",intermediate,on-site,Data
95,"['computer vision', 'machine learning', 'docker', 'git', 'nlp']",beginner,remote,DevOps
96,"['deep learning', 'computer vision']",advanced,remote,Web
